,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
31,CHEMBL208292,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@@H]1C(N)=O,10000.0,inactive
32,CHEMBL207584,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@H]1C(N)=O,10000.0,inactive
33,CHEMBL382638,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CN1CCC[C@H]1C(N)=O,10000.0,inactive
34,CHEMBL206955,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CN1CCC[C@@H]1C(N)=O,10000.0,inactive
35,CHEMBL215652,CC(C)c1nnc2ccc(-c3ocnc3-c3ccc(F)cc3Cl)cn12,10000.0,inactive
36,CHEMBL213423,CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)c(F)cc3F)cn12,10000.0,inactive
37,CHEMBL213451,CCNc1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cn12,10000.0,inactive
38,CHEMBL212382,CC(C)(C)c1nnc2ccc(-c3ocnc3-c3ccc(F)cc3F)cn12,10000.0,inactive
39,CHEMBL212968,CC(C)(C)c1nnc2ccc(-c3ocnc3-c3cc(F)c(F)cc3F)cn12,10000.0,inactive
40,CHEMBL214198,CC(C)c1nnc2ccc(-c3c[nH]nc3-c3cc(F)ccc3F)cn12,10000.0,inactive
41,CHEMBL379929,CC(C)c1nnc2ccc(-c3ocnc3-c3ccccc3)cn12,10000.0,inactive
42,CHEMBL395080,COc1cc(-c2ccc3c(c2)Nc2ccc(CC(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1N,50000.0,inactive
43,CHEMBL389745,COc1cc(-c2ccc3c(c2)Nc2ccc(C(C)(C)C(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1N,10000.0,inactive
44,CHEMBL1269227,Oc1ccc(-c2cnc3c(Br)cnn3c2)cc1,7700.0,intermediate
45,CHEMBL1272246,Brc1cnn2cc(-c3ccc(OCCN4CCOCC4)cc3)cnc12,3500.0,intermediate
46,CHEMBL331465,c1ccc(-c2cnn3cc(-c4ccc(OCCN5CCOCC5)cc4)cnc23)cc1,1800.0,intermediate
47,CHEMBL324153,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCOCC5)cc4)cnc23)ccn1,280.0,active
48,CHEMBL1271480,O=c1ccc(-c2cnn3cc(-c4ccc(OCCN5CCOCC5)cc4)cnc23)c[nH]1,60.0,active
49,CHEMBL1271481,O=c1cc(-c2cnn3cc(-c4ccc(OCCN5CCOCC5)cc4)cnc23)cc[nH]1,270.0,active
50,CHEMBL1271532,c1cc(-c2cnc3c(-c4cn[nH]c4)cnn3c2)ccc1OCCN1CCOCC1,140.0,active
51,CHEMBL1271533,Nc1cc(-c2cnn3cc(-c4ccc(OCCN5CCOCC5)cc4)cnc23)ccn1,220.0,active
52,CHEMBL1271587,Nc1ccc(-c2cnn3cc(-c4ccc(OCCN5CCOCC5)cc4)cnc23)cn1,2100.0,intermediate
53,CHEMBL1271588,COc1ccc(-c2cnn3cc(-c4ccc(OCCN5CCOCC5)cc4)cnc23)cc1OC,2200.0,intermediate
54,CHEMBL1271641,Oc1ccc(-c2cnn3cc(-c4ccc(OCCN5CCOCC5)cc4)cnc23)cc1O,1100.0,intermediate
55,CHEMBL1271642,NS(=O)(=O)c1ccc(Nc2ncc(-c3ccc(O)c(O)c3)o2)cc1,2900.0,intermediate
56,CHEMBL1271692,NS(=O)(=O)c1ccc(Nc2ncc(-c3ccc(=O)[nH]c3)o2)cc1,5000.0,intermediate
57,CHEMBL478629,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1,41.0,active
58,CHEMBL2436978,CN1CCN(Cc2ccc(-c3cnc4[nH]cc(-c5ccc6[nH]ccc6c5)c4c3)cc2)CC1,1512.0,intermediate
59,CHEMBL3361128,O=C1/C(=C\c2ccc(O)c(O)c2)Oc2ccccc21,19500.0,inactive
60,CHEMBL3741589,O=C(O)C1CN(Cc2ccc(OCc3ccc(Cl)c(Cl)c3)cc2)C1,10000.0,inactive
61,CHEMBL478629,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1,230.0,active
62,CHEMBL2006765,CCCNC(=O)c1ccc(Nc2nc(NCC(F)(F)F)c3cc[nH]c3n2)cc1,1400.0,intermediate
63,CHEMBL4078893,FC(F)(F)CNc1nc(Nc2ccc(N3CCOCC3)c(Cl)c2)nc2ccoc12,10000.0,inactive
64,CHEMBL4066664,FC(F)(F)CNc1nc(Nc2ccc3cn[nH]c3c2)nc2ccoc12,10000.0,inactive
65,CHEMBL4069365,CC1(C)OCC(=O)Nc2cc(Nc3nc(NCC(F)(F)F)c4occc4n3)ccc21,10000.0,inactive
66,CHEMBL4062803,Cc1n[nH]c2cc(Nc3nc(NC4CC4)c4occc4n3)ccc12,10000.0,inactive
67,CHEMBL4245507,O=C(Cc1cccc(OCCCN2CCNCC2)c1)Nc1nc(-c2ccncc2)cs1,10000.0,inactive
68,CHEMBL4641408,c1cc(-c2cc[nH]n2)cc(-c2ccc(OCCN3CCCCC3)cc2)n1,532.5,active
69,CHEMBL3439298,O=C(Cc1ccc(Cl)s1)Nc1ccc2c(c1)C(=O)NC2=O,3847.66,intermediate
70,CHEMBL3439298,O=C(Cc1ccc(Cl)s1)Nc1ccc2c(c1)C(=O)NC2=O,8510.34,intermediate
71,CHEMBL3439298,O=C(Cc1ccc(Cl)s1)Nc1ccc2c(c1)C(=O)NC2=O,1378.18,intermediate
72,CHEMBL3439298,O=C(Cc1ccc(Cl)s1)Nc1ccc2c(c1)C(=O)NC2=O,2744.48,intermediate
73,CHEMBL3440842,c1cncc(-c2ccc3c(c2)C2(CCNCC2)CC3)c1,100000.0,inactive
74,CHEMBL3440842,c1cncc(-c2ccc3c(c2)C2(CCNCC2)CC3)c1,100000.0,inactive
75,CHEMBL3440843,c1cc(-c2ccc3c(c2)CCC32CCNCC2)ccn1,100000.0,inactive
76,CHEMBL3440843,c1cc(-c2ccc3c(c2)CCC32CCNCC2)ccn1,100000.0,inactive
77,CHEMBL3440894,c1cc(-c2ccc3c(c2)C2(CCNCC2)CC3)ccn1,100000.0,inactive
78,CHEMBL3440894,c1cc(-c2ccc3c(c2)C2(CCNCC2)CC3)ccn1,100000.0,inactive
79,CHEMBL3453884,CC(C)C1CCCN1C(=O)Nc1ccc(=O)n(C)c1,100000.0,inactive
80,CHEMBL3453884,CC(C)C1CCCN1C(=O)Nc1ccc(=O)n(C)c1,100000.0,inactive
81,CHEMBL3452088,CCn1cc(NC(=O)NCCN2CCCCCC2=O)cn1,100000.0,inactive
82,CHEMBL3452088,CCn1cc(NC(=O)NCCN2CCCCCC2=O)cn1,100000.0,inactive
83,CHEMBL3452104,CC(C)(C)NC(=O)CNc1ncccn1,100000.0,inactive
84,CHEMBL3452104,CC(C)(C)NC(=O)CNc1ncccn1,100000.0,inactive
85,CHEMBL3455815,CCCS(=O)(=O)N1CCN(CCCO)CC1,100000.0,inactive
86,CHEMBL3455815,CCCS(=O)(=O)N1CCN(CCCO)CC1,100000.0,inactive
87,CHEMBL3436647,CN(C)c1nc2sc(C(=O)N3CCN(C(=O)OC(C)(C)C)CC3)cc2s1,100000.0,inactive
88,CHEMBL3436647,CN(C)c1nc2sc(C(=O)N3CCN(C(=O)OC(C)(C)C)CC3)cc2s1,100000.0,inactive
89,CHEMBL1495961,Cc1ccc(NC(=O)c2cc(S(=O)(=O)N3CCCCC3)c[nH]2)cc1F,100000.0,inactive
90,CHEMBL1495961,Cc1ccc(NC(=O)c2cc(S(=O)(=O)N3CCCCC3)c[nH]2)cc1F,100000.0,inactive
91,CHEMBL3455875,CC(C)COc1cncc(N2CCCN(c3ncccn3)CC2)n1,100000.0,inactive
92,CHEMBL3455875,CC(C)COc1cncc(N2CCCN(c3ncccn3)CC2)n1,100000.0,inactive
93,CHEMBL3444103,CCn1nc(C)c2ccn(CC(=O)NC3CCCC3)c(=O)c21,100000.0,inactive
94,CHEMBL3444103,CCn1nc(C)c2ccn(CC(=O)NC3CCCC3)c(=O)c21,100000.0,inactive
95,CHEMBL3455995,O=C1CN(C(=O)c2cc3ccc(Br)cc3[nH]2)CCN1,100000.0,inactive
96,CHEMBL3455995,O=C1CN(C(=O)c2cc3ccc(Br)cc3[nH]2)CCN1,100000.0,inactive
97,CHEMBL3469992,Cc1nn(C)c(N2CCOCC2)c1CNC(C)c1ccco1,100000.0,inactive
98,CHEMBL3469992,Cc1nn(C)c(N2CCOCC2)c1CNC(C)c1ccco1,100000.0,inactive
99,CHEMBL3470010,CC(CN1CCN(C)CC1)NC(=O)c1cc(Cl)c2c(c1)OCO2,100000.0,inactive
100,CHEMBL3470010,CC(CN1CCN(C)CC1)NC(=O)c1cc(Cl)c2c(c1)OCO2,100000.0,inactive
101,CHEMBL3470011,CCc1nnc2n1CCN(C(=O)c1ccc3nc(C)c(C)nc3c1)C2,100000.0,inactive
102,CHEMBL3470011,CCc1nnc2n1CCN(C(=O)c1ccc3nc(C)c(C)nc3c1)C2,100000.0,inactive
103,CHEMBL3446332,CCNC(=O)c1nnc2ccc(N3CCOCC3)cc2n1,100000.0,inactive
104,CHEMBL3446332,CCNC(=O)c1nnc2ccc(N3CCOCC3)cc2n1,100000.0,inactive
105,CHEMBL3446334,O=C(NCc1ccccc1)c1nnc2ccc(N3CCOCC3)cc2n1,100000.0,inactive
106,CHEMBL3446334,O=C(NCc1ccccc1)c1nnc2ccc(N3CCOCC3)cc2n1,100000.0,inactive
107,CHEMBL3471696,CC(C)n1ccc(-c2cc(C(=O)N3CCCC3)c3ccccn23)n1,100000.0,inactive
108,CHEMBL3471696,CC(C)n1ccc(-c2cc(C(=O)N3CCCC3)c3ccccn23)n1,100000.0,inactive
109,CHEMBL3498471,Cl.Cl.c1ccc(OC[C@@H]2CCC[C@@]23CNCCO3)nc1,100000.0,inactive
110,CHEMBL3498471,Cl.Cl.c1ccc(OC[C@@H]2CCC[C@@]23CNCCO3)nc1,100000.0,inactive
111,CHEMBL3498472,Cl.Cl.c1cc(COC[C@@H]2CCC[C@@]23CNCCO3)ccn1,100000.0,inactive
112,CHEMBL3498472,Cl.Cl.c1cc(COC[C@@H]2CCC[C@@]23CNCCO3)ccn1,100000.0,inactive
113,CHEMBL3498473,Cl.Cl.c1cncc(OC[C@@H]2CCC[C@@]23CNCCO3)c1,100000.0,inactive
114,CHEMBL3498473,Cl.Cl.c1cncc(OC[C@@H]2CCC[C@@]23CNCCO3)c1,100000.0,inactive
115,CHEMBL3471698,CC(C)NC(=O)N1CC[C@@H]2CN(Cc3ccccc3)S(=O)(=O)[C@@H]2CC1,100000.0,inactive
116,CHEMBL3471698,CC(C)NC(=O)N1CC[C@@H]2CN(Cc3ccccc3)S(=O)(=O)[C@@H]2CC1,100000.0,inactive
117,CHEMBL3504591,FC1(F)CCN(Cc2ccccn2)CC12CCN(c1cccnc1)C2.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,100000.0,inactive
118,CHEMBL3504591,FC1(F)CCN(Cc2ccccn2)CC12CCN(c1cccnc1)C2.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,100000.0,inactive
119,CHEMBL3444413,CC1(C)Cc2ccccc2-c2nc(NCCO)[nH]c(=O)c21,18963.98,inactive
120,CHEMBL3444413,CC1(C)Cc2ccccc2-c2nc(NCCO)[nH]c(=O)c21,23144.81,inactive
121,CHEMBL3444413,CC1(C)Cc2ccccc2-c2nc(NCCO)[nH]c(=O)c21,28342.61,inactive
122,CHEMBL3444413,CC1(C)Cc2ccccc2-c2nc(NCCO)[nH]c(=O)c21,23911.21,inactive
123,CHEMBL3469701,CN(C)C(=O)Cc1nc(CN2CCCCC2Cn2cccn2)cs1,100000.0,inactive
124,CHEMBL3469701,CN(C)C(=O)Cc1nc(CN2CCCCC2Cn2cccn2)cs1,100000.0,inactive
125,CHEMBL3471859,C[C@H]1C[C@@H]2CCN(Cc3ccccn3)C[C@H]2O1,100000.0,inactive
126,CHEMBL3471859,C[C@H]1C[C@@H]2CCN(Cc3ccccn3)C[C@H]2O1,100000.0,inactive
127,CHEMBL3469831,CCS(=O)(=O)CC(=O)NC(c1ccc(F)cc1)C1CCCC1,100000.0,inactive
128,CHEMBL3469831,CCS(=O)(=O)CC(=O)NC(c1ccc(F)cc1)C1CCCC1,100000.0,inactive
129,CHEMBL3469870,CCc1csc(C2CCCN(C(=O)c3cnn(CC)c3)C2)n1,100000.0,inactive
130,CHEMBL3469870,CCc1csc(C2CCCN(C(=O)c3cnn(CC)c3)C2)n1,100000.0,inactive
131,CHEMBL3500897,Cc1ccc2c(n1)N(C)CCN(C(=O)NC1CC1)C2.O=C(O)C(F)(F)F,100000.0,inactive
132,CHEMBL3500897,Cc1ccc2c(n1)N(C)CCN(C(=O)NC1CC1)C2.O=C(O)C(F)(F)F,100000.0,inactive
133,CHEMBL3446709,CC(C)c1cc(C(=O)NCCc2nc(-c3cccnc3)n[nH]2)[nH]n1,33789.05,inactive
134,CHEMBL3446709,CC(C)c1cc(C(=O)NCCc2nc(-c3cccnc3)n[nH]2)[nH]n1,26989.19,inactive
135,CHEMBL3446709,CC(C)c1cc(C(=O)NCCc2nc(-c3cccnc3)n[nH]2)[nH]n1,29641.75,inactive
136,CHEMBL3446709,CC(C)c1cc(C(=O)NCCc2nc(-c3cccnc3)n[nH]2)[nH]n1,26220.02,inactive
137,CHEMBL3444831,O=C(NCC1CC1)C1CN(C(=O)c2cccc(Cl)c2)CC12CCOCC2,100000.0,inactive
138,CHEMBL3444831,O=C(NCC1CC1)C1CN(C(=O)c2cccc(Cl)c2)CC12CCOCC2,100000.0,inactive
139,CHEMBL3501058,CN(C)S(=O)(=O)N1C[C@H](Oc2cccnc2)[C@H]2OCCC[C@H]21.O=C(O)C(F)(F)F,100000.0,inactive
140,CHEMBL3501058,CN(C)S(=O)(=O)N1C[C@H](Oc2cccnc2)[C@H]2OCCC[C@H]21.O=C(O)C(F)(F)F,100000.0,inactive
141,CHEMBL3444873,CO[C@@H]1CC[C@H]2[C@H]1OCCN2C(=O)c1ccc(C)o1,100000.0,inactive
142,CHEMBL3444873,CO[C@@H]1CC[C@H]2[C@H]1OCCN2C(=O)c1ccc(C)o1,100000.0,inactive
143,CHEMBL3444874,Cc1ccsc1C(=O)N1CC(C(=O)NCC2CC2)C2(CCOCC2)C1,100000.0,inactive
144,CHEMBL3444874,Cc1ccsc1C(=O)N1CC(C(=O)NCC2CC2)C2(CCOCC2)C1,100000.0,inactive
145,CHEMBL3444875,Cc1ccsc1C(=O)N1CC(C(=O)N2CCOCC2)C2(CCOCC2)C1,100000.0,inactive
146,CHEMBL3444875,Cc1ccsc1C(=O)N1CC(C(=O)N2CCOCC2)C2(CCOCC2)C1,100000.0,inactive
147,CHEMBL3450410,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccc(C)o2)on1,60578.32,inactive
148,CHEMBL3450410,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccc(C)o2)on1,44292.88,inactive
149,CHEMBL3450410,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccc(C)o2)on1,29724.0,inactive
150,CHEMBL3450410,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccc(C)o2)on1,100000.0,inactive
151,CHEMBL3450410,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccc(C)o2)on1,74531.58,inactive
152,CHEMBL3450410,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccc(C)o2)on1,288403.15,inactive
153,CHEMBL3449567,Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccco2)on1,21505.91,inactive
154,CHEMBL3449567,Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccco2)on1,48977.88,inactive
155,CHEMBL3449568,Cc1cc(-c2cnc(NC3CCCCC3)nc2-c2ccco2)on1,100000.0,inactive
156,CHEMBL3449568,Cc1cc(-c2cnc(NC3CCCCC3)nc2-c2ccco2)on1,17498.24,inactive
157,CHEMBL3449573,Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccc(C)o2)on1,15233.09,inactive
158,CHEMBL3449573,Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccc(C)o2)on1,100000.0,inactive
159,CHEMBL3449584,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccco2)on1,100000.0,inactive
160,CHEMBL3449584,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccco2)on1,60199.31,inactive
161,CHEMBL3449585,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccoc2C)on1,100000.0,inactive
162,CHEMBL3449585,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccoc2C)on1,100000.0,inactive
163,CHEMBL3449586,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccoc2)on1,100000.0,inactive
164,CHEMBL3449586,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccoc2)on1,100000.0,inactive
165,CHEMBL3449593,Cc1occc1-c1nc(NC2CCCC2)ncc1-c1ccccn1,100000.0,inactive
166,CHEMBL3449593,Cc1occc1-c1nc(NC2CCCC2)ncc1-c1ccccn1,100000.0,inactive
167,CHEMBL3450463,Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccoc2C)on1,288403.15,inactive
168,CHEMBL3450463,Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccoc2C)on1,54520.94,inactive
169,CHEMBL3450463,Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccoc2C)on1,100000.0,inactive
170,CHEMBL3450463,Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccoc2C)on1,68767.39,inactive
171,CHEMBL3450463,Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccoc2C)on1,52220.7,inactive
172,CHEMBL3449667,Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccoc2)on1,100000.0,inactive
173,CHEMBL3449667,Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccoc2)on1,100000.0,inactive
174,CHEMBL3476014,COc1cc(-c2cccc3c2OC(CN)C3)ccc1O,22077.58,inactive
175,CHEMBL3476014,COc1cc(-c2cccc3c2OC(CN)C3)ccc1O,26500.87,inactive
176,CHEMBL3478046,Cn1cnc(S(=O)(=O)N2C[C@@H]3CC[C@H](C2)N(Cc2ccccn2)C3)c1,100000.0,inactive
177,CHEMBL3478046,Cn1cnc(S(=O)(=O)N2C[C@@H]3CC[C@H](C2)N(Cc2ccccn2)C3)c1,100000.0,inactive
178,CHEMBL3479102,COc1ccc(CC2(CO)CCN(c3cc(C#N)ccn3)CC2)cc1,100000.0,inactive
179,CHEMBL3479102,COc1ccc(CC2(CO)CCN(c3cc(C#N)ccn3)CC2)cc1,100000.0,inactive
180,CHEMBL3478357,CN(C)S(=O)(=O)NC1CCCc2c1cnn2-c1ccc(C(C)(C)C)cc1,100000.0,inactive
181,CHEMBL3478357,CN(C)S(=O)(=O)NC1CCCc2c1cnn2-c1ccc(C(C)(C)C)cc1,100000.0,inactive
182,CHEMBL3478563,CN1CCC(c2n[nH]c(=O)n2-c2cccc(Cl)c2)CC1,100000.0,inactive
183,CHEMBL3478563,CN1CCC(c2n[nH]c(=O)n2-c2cccc(Cl)c2)CC1,100000.0,inactive
184,CHEMBL3477688,NCC1Cc2cccc(-c3ccc(O)c(F)c3)c2O1,12637.53,inactive
185,CHEMBL3477688,NCC1Cc2cccc(-c3ccc(O)c(F)c3)c2O1,12230.17,inactive
186,CHEMBL3473024,CNc1nc(C(=O)N2CCCC(COc3ccc(F)cc3)C2)cs1,100000.0,inactive
187,CHEMBL3473024,CNc1nc(C(=O)N2CCCC(COc3ccc(F)cc3)C2)cs1,100000.0,inactive
188,CHEMBL3485062,Cn1ncc2c(NC3CCC3)nc(-c3ccncc3)nc21,100000.0,inactive
189,CHEMBL3485062,Cn1ncc2c(NC3CCC3)nc(-c3ccncc3)nc21,100000.0,inactive
190,CHEMBL3483391,Cc1nc(N)nc(C)c1CC(=O)N1CCC2(CC1)OCCCC2O,100000.0,inactive
191,CHEMBL3483391,Cc1nc(N)nc(C)c1CC(=O)N1CCC2(CC1)OCCCC2O,100000.0,inactive
192,CHEMBL3481587,O=C1CC2(CCN(Cc3ccc(-c4ccccc4)s3)C2)C(=O)N1,100000.0,inactive
193,CHEMBL3481587,O=C1CC2(CCN(Cc3ccc(-c4ccccc4)s3)C2)C(=O)N1,100000.0,inactive
194,CHEMBL3486487,Cc1nc(N2CCN(C)CC2)ncc1C(=O)N1CCC(O)(CO)CC1,100000.0,inactive
195,CHEMBL3486487,Cc1nc(N2CCN(C)CC2)ncc1C(=O)N1CCC(O)(CO)CC1,100000.0,inactive
196,CHEMBL3486500,CCc1cc(NCCc2ccc(O)cc2)n2nccc2n1,36506.43,inactive
197,CHEMBL3486500,CCc1cc(NCCc2ccc(O)cc2)n2nccc2n1,18773.25,inactive
198,CHEMBL3486508,COc1ccccc1OCc1cc(C(=O)N2CC(O)C2)n[nH]1,100000.0,inactive
199,CHEMBL3486508,COc1ccccc1OCc1cc(C(=O)N2CC(O)C2)n[nH]1,100000.0,inactive
200,CHEMBL3496402,CCc1cc(C)c(C(=O)N2CCCC2CC(=O)c2cnn(C)c2)o1,100000.0,inactive
201,CHEMBL3496402,CCc1cc(C)c(C(=O)N2CCCC2CC(=O)c2cnn(C)c2)o1,100000.0,inactive
202,CHEMBL3494603,CCOc1cc(C)nc(N2CCN(C(=O)CC)CC2)n1,100000.0,inactive
203,CHEMBL3494603,CCOc1cc(C)nc(N2CCN(C(=O)CC)CC2)n1,100000.0,inactive
204,CHEMBL3496448,CCOc1cccc2c1OCC(C(=O)NS(=O)(=O)c1ccc(Cl)cc1)=C2,100000.0,inactive
205,CHEMBL3496448,CCOc1cccc2c1OCC(C(=O)NS(=O)(=O)c1ccc(Cl)cc1)=C2,100000.0,inactive
206,CHEMBL3496517,CC(C)OCCCNC(=O)c1ccc(-c2ccco2)[nH]c1=O,100000.0,inactive
207,CHEMBL3494714,Cc1cnn(CC2CN(Cc3nnc(-c4occc4C)o3)CCO2)c1,100000.0,inactive
208,CHEMBL3494714,Cc1cnn(CC2CN(Cc3nnc(-c4occc4C)o3)CCO2)c1,100000.0,inactive
209,CHEMBL3496590,CCOCC(O)CN1CCN(C(=O)C2CC2)CC1,100000.0,inactive
210,CHEMBL3496590,CCOCC(O)CN1CCN(C(=O)C2CC2)CC1,100000.0,inactive
211,CHEMBL3496591,CC(C)c1nc2n(n1)CC(NCc1nnc(C(C)C)o1)CC2,100000.0,inactive
212,CHEMBL3496591,CC(C)c1nc2n(n1)CC(NCc1nnc(C(C)C)o1)CC2,100000.0,inactive
213,CHEMBL3496614,COc1cc(C(=O)N2CCCC(CNS(C)(=O)=O)C2)cc(OC)c1C,100000.0,inactive
214,CHEMBL3496614,COc1cc(C(=O)N2CCCC(CNS(C)(=O)=O)C2)cc(OC)c1C,100000.0,inactive
215,CHEMBL3491021,Cc1ccnc(NC(=O)c2[nH]nc(C(C)C)c2Br)c1,100000.0,inactive
